dataset,fault_type,n,localization_top1,localization_top2,localization_mrr,localization_mean_rank
air_quality,dropout,1250,0.924,0.936,0.9452,1.236
air_quality,noise_floor,1250,0.1664,0.3496,0.391207619047619,4.1224
air_quality,offset_drift,1250,0.2232,0.4368,0.4459476190476191,3.7392
air_quality,saturation,1250,0.22,0.372,0.4355285714285715,3.724
air_quality,scale_drift,1250,0.2704,0.4104,0.4624809523809524,3.7584
air_quality,time_lag,1250,0.3104,0.5248,0.5175066666666667,3.3008
air_quality,trend_drift,1250,0.364,0.5256,0.5419714285714285,3.32
synthetic,dropout,1250,0.996,1.0,0.998,1.004
synthetic,noise_floor,1250,0.5096,0.5384,0.5994514285714285,3.6872
synthetic,offset_drift,1250,0.468,0.5216,0.57118,3.8576
synthetic,saturation,1250,0.372,0.444,0.5112476190476191,3.844
synthetic,scale_drift,1250,0.3688,0.4656,0.5201485714285714,3.6744
synthetic,time_lag,1250,0.7176,0.7568,0.7834876190476191,2.2504
synthetic,trend_drift,1250,0.46,0.508,0.5648057142857142,3.876
uci_har,dropout,1250,0.988,0.996,0.9933333333333334,1.016
uci_har,noise_floor,1250,0.7656,0.8752,0.8500133333333333,1.5496
uci_har,offset_drift,1250,0.8976,0.9416,0.9357333333333334,1.2104
uci_har,saturation,1250,0.336,0.496,0.5404666666666667,2.852
uci_har,scale_drift,1250,0.2584,0.4928,0.49772,2.976
uci_har,time_lag,1250,0.1488,0.3128,0.39616,3.5496
uci_har,trend_drift,1250,0.9056,0.9608,0.9440266666666668,1.1688
